Month,YoY Change (%)
2021-01,-11.6
2021-02,-5.5
2021-03,9.3
2021-04,3.4
2021-05,-0.2
2021-06,-3.3
2021-07,-5.9
2021-08,-2.6
2021-09,-7.6
2021-10,-14.8
2021-11,-2.0
2021-12,-4.6
2022-01,-0.1
2022-02,-1.4
2022-03,-4.5
2022-04,-10.4
2022-05,-8.6
2022-06,-9.5
2022-07,-14.2
2022-08,-6.9
2022-09,-5.9
2022-10,-0.7
2022-11,-6.3
2022-12,-5.6
2023-01,0.0
2023-02,-5.9
2023-03,-8.5
2023-04,-10.2
2023-05,-11.2
2023-06,-4.4
2023-07,-5.1
2023-08,-5.0
2023-09,-6.1
2023-10,-6.2
2023-11,-3.2
2023-12,-4.7
2024-01,-3.7
2024-02,-1.4
2024-03,-14.0
2024-04,-1.9
2024-05,0.8
2024-06,-10.2
2024-07,-5.1
2024-08,-5.8
2024-09,-2.9
2024-10,-2.0
2024-11,-15.3
2024-12,-4.0
2025-01,-9.2
2025-02,-6.3
2025-03,-8.5
2025-04,-5.4
2025-05,-12.0
2025-06,-6.5
2025-07,1.5
2025-08,-11.7
2025-09,-5.8
2025-10,-4.8
